path,ext,bytes,loc,hand_written,fully_read,review_status,notes
dashboard/src/pages/ActivityFlowCard.jsx,.jsx,20357,365,YES,YES,COMPLETE,
dashboard/src/pages/ActivityFlowStep.jsx,.jsx,3914,86,YES,YES,COMPLETE,
dashboard/src/pages/ContentManagers.jsx,.jsx,3165,91,YES,YES,COMPLETE,
dashboard/src/pages/ContentManagers.test.jsx,.jsx,1974,52,YES,YES,COMPLETE,
dashboard/src/pages/Dashboard.adminBypass.test.jsx,.jsx,1948,64,YES,YES,COMPLETE,
dashboard/src/pages/Dashboard.jsx,.jsx,1790,49,YES,YES,COMPLETE,
dashboard/src/pages/ForgotPassword.jsx,.jsx,4105,99,YES,YES,COMPLETE,
dashboard/src/pages/Login.jsx,.jsx,10369,266,YES,YES,COMPLETE,
dashboard/src/pages/NotFound.jsx,.jsx,601,18,YES,YES,COMPLETE,
dashboard/src/pages/NotFound.test.jsx,.jsx,608,18,YES,YES,COMPLETE,
dashboard/src/pages/ResetPassword.jsx,.jsx,4769,122,YES,YES,COMPLETE,
dashboard/src/pages/Settings.integrations.test.jsx,.jsx,3840,118,YES,YES,COMPLETE,
dashboard/src/pages/Settings.jsx,.jsx,20269,483,YES,YES,COMPLETE,
dashboard/src/pages/Training.jsx,.jsx,340,12,YES,YES,COMPLETE,
dashboard/src/pages/VerifyEmail.jsx,.jsx,4405,113,YES,YES,COMPLETE,
dashboard/src/pages/Wallet.jsx,.jsx,13062,293,YES,YES,COMPLETE,
dashboard/src/pages/content-managers/CmActionsPage.jsx,.jsx,2778,75,YES,YES,COMPLETE,
